title,frequency,link,price
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Boots,30,https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Boots,30,https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB2,800"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women boots,10,https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,400"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
Women fashion boots,10,https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD,"ETB3,000"
