title,price,link
2004 Honda foreman 450es,"$2,500",https://web.facebook.com/marketplace/item/1542134659825943/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1985 Burro camp trailer,"$11,500",https://web.facebook.com/marketplace/item/579879898350259/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1 Bed 1 Bath House,"$1,250",https://web.facebook.com/marketplace/item/952289133446441/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Gazebo with assembly = $1200,"$1,200",https://web.facebook.com/marketplace/item/579714411614165/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2023 Kawasaki ninja,"$2,700",https://web.facebook.com/marketplace/item/1610725016989448/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Árbol de Guayaba Rosita/Blanca,$100,https://web.facebook.com/marketplace/item/1154268649827991/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Dinning Table & Chairs,FREE,https://web.facebook.com/marketplace/item/8997793000289430/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Kyokuto VG10 Damascus Knives Set - Brand New,$225,https://web.facebook.com/marketplace/item/1246678816435141/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2011 Dodge charger R/T Sedan 4D,"$3,800",https://web.facebook.com/marketplace/item/2057133524709955/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Antique large steel open wrench from Ireland,$30,https://web.facebook.com/marketplace/item/612899165024304/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Rolls of mercuries and barber,$175,https://web.facebook.com/marketplace/item/557373290275773/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1996 Pleasure Way stw,"$10,500",https://web.facebook.com/marketplace/item/642460838463550/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
