title,price,link
Cool Water  Men’s Perfume,670.00 Br Including VAT,https://addisber.com/shop/cool-water-mens-perfume/
EAU DE TOILETTE JORDACHE #64 Man’s Perfume,"2,011.00 Br Including VAT",https://addisber.com/shop/eau-de-toilette-jordache-64-mans-perfume/
EAU DE TOILETTE JORDACHE #71 Men’s Perfume,"2,011.00 Br Including VAT",https://addisber.com/shop/eau-de-toilette-jordache-71-mens-perfume/
Infinity Woman Perfume,"2,691.00 Br Original price was: 2,691.00 Br.1,345.50 BrCurrent price is: 1,345.50 Br. Including VAT",https://addisber.com/shop/infinity-woman-perfume/
Ivory Jewels Woman Perfumes,"3,095.00 Br Including VAT",https://addisber.com/shop/ivory-jewels-woman-perfumes/
Jordaine Woman Perfume,"2,691.00 Br Original price was: 2,691.00 Br.1,345.50 BrCurrent price is: 1,345.50 Br. Including VAT",https://addisber.com/shop/jordaine-woman-perfume/
Sandora Soft and Blue Perfume,"2,691.00 Br Original price was: 2,691.00 Br.1,345.50 BrCurrent price is: 1,345.50 Br. Including VAT",https://addisber.com/shop/sandora-soft-and-blue-perfume/
50ml Nivea Dry Comfort Roll,523.00 Br Including VAT,https://addisber.com/shop/50ml-nivea-dry-comfort-roll/
50ml Nivea Men Active Fresh Roll,523.00 Br Including VAT,https://addisber.com/shop/50ml-nivea-men-active-fresh-roll/
50ml Nivea Men Dry Impact,523.00 Br Including VAT,https://addisber.com/shop/50ml-nivea-men-dry-impact/
