title,year,price,status
Toyota Yaris Crozz (Hybrid ),2024 | Hybrid,"ETB 6,500,000 (Negotiable)",New
Jetoure dashing,2024 | Benzine,"ETB 4,600,000 (Fixed)",New
Suzuki spresso,2020 | Benzine,"ETB 2,100,000 (Fixed)",New
Hyundai Tucson (Dubai),2020 | Benzine,"ETB 5,300,000 (Slightly neg.)",New
Hyundai Creta (Option),2022 | Benzine,"ETB 5,950,000 (Negotiable)",New
Suzuki Vitara VLX Europe  1992,1992 | Benzine,"ETB 750,000 (Negotiable)",New
"በጣም አስቸኳይ!! 2015 RAV4,AUTOMATIC",2015 | Benzine,"ETB 3,800,000 (Slightly neg.)",New
"FAW BESTUNE,T77,2022,FULL OPTION.",2022 | Benzine,"ETB 3,500,000 (Negotiable)",New
Grand highlander 2024,2024 | Hybrid,"ETB 20,000,000 (Slightly neg.)",New
"HOVER,GREAT WALL,2010,EXCELLENT CONDITION!!",2010 | Benzine,"ETB 1,180,000 (Negotiable)",New
Cherry Eq 3  2204,2024 | Electric,"ETB 4,550,000 (Fixed)",New
Jetoure x 70 plus,2022 | Benzine,"ETB 2,800,000 (Fixed)",New
Id 6 pro cross  2024,2024 | Electric,"ETB 6,500,000 (Slightly neg.)",New
Byd song plus Ev 2024,2024 | Electric,"ETB 5,400,000 (Slightly neg.)",New
Corrola cross 2024,2024 | Hybrid,"ETB 6,500,000 (Slightly neg.)",New
Byd song plus dm i hybride 2024,2024 | Hybrid,"ETB 6,900,000 (Slightly neg.)",New
Volkswagen ID 4 Pro Cross  2024 (can be with change),2024 | Electric,On call,New
BYD SONG PLUS EV 2024,2024 | Electric,"ETB 5,800,000 (Fixed)",New
Volswagen ID6 pro,2023 | Electric,"ETB 5,650,000 (Negotiable)",New
CHERY ICAR 2024,2024 | Benzine,"ETB 4,350,000 (Negotiable)",New
