link,price,description
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2006,"ETB64.00
         			  		            		            Ex Tax: ETB56.00","Ground Cinnamon, Certified Organic ﻿CinnamonORGANIC CINNAMON - Nothing but pure, organic, groun.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3277,"ETB114.00
         			  		            		            Ex Tax: ETB100.00","This Organic ground cardamom
has sweet taste & enticing aroma.From the dried, cardamom&nbs.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3980,"ETB43.00
         			  		            		            Ex Tax: ETB37.00",Organic White Black Pepper100% organicHome madeEnhances the taste of the food.weight- 25gPrepared by..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3139,"ETB36.00
         			  		            		            Ex Tax: ETB32.00","Prepared Mixed Stew Spice weight- 0.044



 Manufacturer-
HASSET&nbsp.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=1895,"ETB702.00
         			  		            		            Ex Tax: ETB702.00","Rift Valley Cuvee Prestige Chardonnay



Tasting Notes:

Colour and Bouquet:
Subtl.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2787,"ETB389.00
         			  		            		            Ex Tax: ETB339.00",Naturally healthy 100% pure honey from JinkaDelicate reliable flavor honey varietyPacked in a plasti..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3824,"ETB105.00
         			  		            		            Ex Tax: ETB91.00","Tigist_ Organic Split Peas (1kg) 
-It is 100% natural -100% Organic &
100% Pesticid.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5210,"ETB340.00
         			  		            		            Ex Tax: ETB296.00","Abea Peanut ButterNatural Peanut
butter Our Natural
PeanutButter
is made by roasting an.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5073,"ETB800.00
         			  		            		            Ex Tax: ETB800.00",Alem Roasted Ground Coffee100% OrganicRoasted and Ground Ethiopia CoffeeItem weight: 1000gManufactur..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4375,"ETB57.00
         			  		            		            Ex Tax: ETB50.00",Ameleworke_ malt powder ( የብቅል ዱቄት)malt is used to make Ethiopian traditional alcoholic drinks ..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4374,"ETB57.00
         			  		            		            Ex Tax: ETB50.00",Ameleworke_ Tella Kita Flour (የጠላ ቂጣ ዱቄት)Tella kita flour is used to make Ethiopian tradit..
