title,price,description
https://helloomarket.com/index.php?route=product/product&path=99&product_id=4048,ETB624.00Ex Tax: ETB543.00,"Hanok _ Unisex Leather Waist Pack Bag Adjustable strap: The flexible strap, with
st.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=4450,ETB637.00Ex Tax: ETB554.00,"Kasahun_  Men's Full-Zip hoodie sweatshirtSuper soft perfect breathable, super soft warm, .."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2793,ETB677.00Ex Tax: ETB677.00,"Safety, sleepwear should be either flame
resistant or snug-fitting. This item is snug-fittingPerfec.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=4670,ETB168.00Ex Tax: ETB168.00,Muluemebet ­_Men Comfortable T-Shirt-Short-Sleeve Sky-blue -shirt-Super Soft and Com..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=5207,"ETB1,839.00Ex Tax: ETB1,600.00","Men’s Leather Black Shine Shoe  -100%
pure leather-Well
designed stylish-Comfortable
r.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=4961,"ETB1,839.00Ex Tax: ETB1,600.00",Tizita- men’s Leather Shoes100% pure Leather Rubber sole Lightweight Breathable and comfortabl..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=3621,"ETB1,387.00Ex Tax: ETB1,206.00","Weyneshet_
Men’s Genuine Leather Short boots 
- Syntactic sole 
- Durable side-st.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=3620,"ETB1,387.00Ex Tax: ETB1,206.00",Men's Genuine Leather Short boots - 100%Genuine Leather- Hand made - Durable le..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=5800,ETB188.00Ex Tax: ETB163.00,Men's T-shirt100% Cotton Machine and hand wash Grey's Color Sleeved Neck O Men's T-Shirt premium cot..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=5630,ETB229.00Ex Tax: ETB199.00,"Men's Sleeve sweatersThe men's
sweater with a tie on the full neck of sky blue in green sleeve.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=4834,ETB492.00Ex Tax: ETB428.00,"Abedela_ Men's  Long-Sleeved Shirtü Button closureü Classic and fashionable
plaid pa.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=5256,ETB308.00Ex Tax: ETB268.00,Abedela_ Men’s T-shirtButton closure Long sleeve stylish and fashionable Wrinkle-resistant finish re..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=4234,ETB354.00Ex Tax: ETB308.00,"Abedu
– Men's Shirt  Button ClosureSoft, breathable, and comfortable fabricButton-down sh.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=3964,"ETB6,430.00ETB7,493.00Ex Tax: ETB5,592.00","Men's Business Suit Pant SetMen formal suits, suitable for business, office,
wedding and other form.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=5559,ETB123.00Ex Tax: ETB107.00,"100%Cotton Machine
& Hand WashMen's tank top t-shirt is made of premium fabric, ultra soft, lig.."
