title,price,description,highlight
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5034,"ETB1,556.00Ex Tax: ETB1,556.00","Genuine Leather, Comfortable, Classic Shoe -Hand made  -100% Pure leather -Flexi..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4439,"ETB1,353.00Ex Tax: ETB1,177.00","Men’s leather short boots  -Rubber sole 
-Genuine leather 
-Easy-to-wear pull..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5659,"ETB2,497.00Ex Tax: ETB2,171.00","Men’s Genuine Leather Boots100%
genuine leather and high qualityClassic band Side designed for dail..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5207,"ETB1,839.00Ex Tax: ETB1,600.00","Men’s Leather Black Shine Shoe  -100%
pure leather-Well
designed stylish-Comfortable
r..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4961,"ETB1,839.00Ex Tax: ETB1,600.00",Tizita- men’s Leather Shoes100% pure Leather Rubber sole Lightweight Breathable and comfortabl..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4105,"ETB2,214.00Ex Tax: ETB2,214.00",welyu  Men’s Genuine Leather Boots100% genuine leather and high qualityClassic one band Side de..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3621,"ETB1,387.00Ex Tax: ETB1,206.00","Weyneshet_
Men’s Genuine Leather Short boots 
- Syntactic sole 
- Durable side-st..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3620,"ETB1,387.00Ex Tax: ETB1,206.00",Men's Genuine Leather Short boots - 100%Genuine Leather- Hand made - Durable le..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5508,ETB173.00Ex Tax: ETB150.00,"The plugs help to enhance the smooth and comfortable
breathing pressure reduced in the foot to main..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1658,ETB268.00Ex Tax: ETB233.00,"Brown
  Pure Leather Hand Made Open Tode  Men's
  Sandals Shoe Color- BrownSize- 41Manuf..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2505,ETB490.00Ex Tax: ETB426.00,Leather On the Top Oromia Flag Printed Can Fit With Every Cultural ClothesColor- White&nbs..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5041,ETB679.00Ex Tax: ETB591.00,Anware _Unisex Sandal shoes 100% LeatherLight syntactic sole Closure: the slip-on style of these sli..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5032,"ETB1,556.00Ex Tax: ETB1,556.00","Genuine Leather, Comfortable, Classic Shoe -Slip-on -Hand made  -Pure leather&nb..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4606,ETB500.00Ex Tax: ETB500.00,"Women's textile lining open shoeThe classic design and versatility mean you
can seamlessly go from ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5441,"ETB1,415.00Ex Tax: ETB1,231.00",Aster Genuine Leather Ad-hosing Shoes HandmadeClassic Leather Lace Up Casual Velvet Low-To..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1863,"ETB1,061.00Ex Tax: ETB1,061.00","Classic
  and Genuine Leather Men's Sandal Shoe. These sandals are made to fit a REGULAR width..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3574,ETB335.00Ex Tax: ETB292.00,"Aynetu men's open shoe.100% leather upper.



Rubber sole.Classic and genuine leather men's..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3284,ETB350.00Ex Tax: ETB304.00,"Made with high-quality
leather durable, and comfortable.100% pure leather men’s Sandal.Handmade ope..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2179,ETB268.00Ex Tax: ETB233.00,Classic and Genuine Leather Men's Sandal Shoe. These sandals are made to fit a REGULAR width fo..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4989,"ETB1,839.00Ex Tax: ETB1,839.00",Men's Comfortable Shoe100% pure leatherFlexible  rubber soleLightweightAvailable color: BlackAv..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2220,ETB309.00Ex Tax: ETB268.00,"100% Leather Upper  Out sole provides
durable shock absorption to help reduce foot ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2940,"ETB1,107.00Ex Tax: ETB963.00",DANSA extra Comfort Brown and Black Valvet Shoes-  100% Leat..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3687,ETB333.00Ex Tax: ETB290.00,"Women’s Fashion Light Wight Comfortable Sandal ShoeUpper
CanvasLight
syntactic soleSlip..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3273,ETB268.00Ex Tax: ETB233.00,"Desalege _Men's Genuine Leather Sandal  Shoe
Handmade100% Genuine LatherLight syntactic Sole P..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2407,ETB583.00Ex Tax: ETB507.00,100% LeatherSynthetic soleHandsome style with superior comfort.Rich leather upper.Slip-on design.Dua..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5018,ETB486.00Ex Tax: ETB486.00,Leather sandal shoe 100% pure leatherAvailable Size: 39-43Manufacturer: Eyob GetachewMade in Et..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4952,"ETB1,132.00Ex Tax: ETB1,132.00","Eyob _Men's Leather Shoe 100%
leatherFlexible rubber soleComfortable
pure leather shoeLightwe..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2631,ETB793.00Ex Tax: ETB689.00,"Feya Genuine Leather Men's Short Boots .This Soft Sole Creates a Custom-fit and relieves foot
..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2761,ETB816.00Ex Tax: ETB710.00,"Men's Genuine Leather Lace-Up ShoeHandmadeClassic Leather Lace Up Casual Velvet
Low-Top ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2628,ETB793.00Ex Tax: ETB689.00,"Feye Comfortable Brown ,and  Black Mean's Shoe100% Real Leather Rubber soleClass..",existing
