title,year,price,status
"አስቸኳይ!! DOUBLE GABINA,KIA,DIESEL,EXCELLENT CONDITION!!",2006 | Diesel,"ETB 1,350,000 (Negotiable)",New
"አስቸኳይ!! DOUBLE GABINA,KIA,DIESEL,EXCELLENT CONDITION!!",2006 | Diesel,"ETB 1,350,000 (Negotiable)",New
"TOYOTA PICKUP,2L,4 WHEEL DRIVE.",1996 | Diesel,"ETB 1,350,000 (Negotiable)",New
"AUTOMATIC FORD RANGER,DOUBLE GABINA,2016.",2016 | Diesel,"ETB 5,600,000 (Negotiable)",New
Toyota double cup 2003,2003 | Diesel,"ETB 2,150,000 (Negotiable)",New
Ford Ranger,2011 | Diesel,"ETB 2,650,000 (Negotiable)",New
ቶዮታ ኪንግካፕ,2000 | Diesel,"ETB 2,100,000 (Negotiable)",New
Hilux pickup,2011 | Diesel,"ETB 5,800,000 (Negotiable)",New
"AUTOMATIC DOUBLE REVO,2017,D4D,EXCELLENT CONDITION!!",2017 | Diesel,"ETB 7,650,000 (Negotiable)",New
"TOYOTA PICKUP,D4D,2003,EXCELLENT CONDITION!!",2003 | Diesel,"ETB 2,250,000 (Negotiable)",New
Ford,2012 | Diesel,"ETB 2,000,000 (Negotiable)",New
"TOYOTA PICKUP,D4D,2003,EXCELLENT CONDITION!!",2003 | Diesel,"ETB 2,280,000 (Negotiable)",New
"FORD RANGER,2017 EXCELLENT CONDITION!!",2017 | Diesel,"ETB 4,100,000 (Negotiable)",New
