title,price,description,location,link
Blanket ብርድልብስ,3600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/decor-accessories/blanket-beredelebese-f76ZTOjMOyXcI0BCNlURfndD.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=0
Louis Vuitton,3200,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/louis-vuitton-1CQZMoHDaV2BtS6Y7pMdAXYo.html?page=1&pos=5&cur_pos=5&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=4
Coconut Oil,700,Contact us for more i for more information,"Addis Ababa, Gullele",https://jiji.com.et/gullele/hair-beauty/coconut-oil-iAbdrrv4yKQvzvX9hpMDRe4k.html?page=1&pos=9&cur_pos=9&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=8
Air Jordan Four,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/air-jordan-four-5YDPYEcGMqCW75gQMNBWK8Vd.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=12
Louis Vuitton,3200,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/louis-vuitton-xCllyvZF1BvsBsq7Fgs79aPE.html?page=1&pos=17&cur_pos=17&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=16
Nike Tiempo,2600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/nike-tiempo-tI8gBaSw5ZlTwdseQ674QZki.html?page=2&pos=4&cur_pos=4&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=3
Allstar Converse,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-1DBu2ZtXcO7GI58h1BSqKV1y.html?page=2&pos=8&cur_pos=8&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=7
New Star BOOC,2150,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/new-star-booc-hUpz1AhBIzUqSW5LFNUsqFGt.html?page=2&pos=12&cur_pos=12&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=11
Eco Forest Castor Oil,850,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/hair-beauty/eco-forest-castor-oil-69yC6XrfsBem1AfcRoam2VBs.html?page=1&pos=2&cur_pos=2&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=1
Kemei Tondos,1200,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/hair-beauty/kemei-tondos-xFgbhKIeMjpbGQntH6h5PVLs.html?page=1&pos=6&cur_pos=6&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=5
